"cellID","date","lon","lat","activity_index_total","bounds"
1,2022-01-01,-123.01598,49.22432,0.123503,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-02,-123.01598,49.22432,0,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-03,-123.01598,49.22432,0,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-04,-123.01598,49.22432,0.082034,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-05,-123.01598,49.22432,0.102824,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-06,-123.01598,49.22432,0.105494,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-07,-123.01598,49.22432,0,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-08,-123.01598,49.22432,0.180131,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-09,-123.01598,49.22432,0.103902,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-10,-123.01598,49.22432,0,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-11,-123.01598,49.22432,0,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-12,-123.01598,49.22432,0.108665,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-13,-123.01598,49.22432,0.127013,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-14,-123.01598,49.22432,0,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-15,-123.01598,49.22432,0.079755,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-16,-123.01598,49.22432,0.125924,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-17,-123.01598,49.22432,0,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-18,-123.01598,49.22432,0,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-19,-123.01598,49.22432,0,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-20,-123.01598,49.22432,0.10749,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-21,-123.01598,49.22432,0.078421,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-22,-123.01598,49.22432,0.011712,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-23,-123.01598,49.22432,0,"-123.01666,49.22388,-123.01529,49.22477"
1,2022-01-24,-123.01598,49.22432,0,"-123.01666,49.22388,-123.01529,49.22477"
